Module no,Workorder no,Material code,Room,Line Code,Equipment Code,Responsible Route operation,Quantity,Create time,Creator,ACTIVITY,TimesFlag,UNDO_FLAG,is_failure,time_delta_s,time_delta_rolling_avg,time_delta_rolling_std,time_delta_s_lag_1,time_delta_s_lag_2,operator_action_rolling_count_1h,shift_A,shift_B,route_IVretest,route_MainProcess,route_PostReworkProcess,route_ReworkProcess
SL2125TGTG0841454,L1J84,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-26 03:43:06,OPERATOR,1.0,7.0,False,0,40.0,25.3,8.53814890729589,17.0,29.0,94.0,False,True,False,True,False,False
SL2125TGTG0830492,L1J83,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-24 17:30:44,OPERATOR,1.0,7.0,False,0,13.0,25.8,9.89724922990127,44.0,19.0,8.0,True,False,False,True,False,False
SL2125TGTG2300748,2001399,22000021,UNIT-01,LINE-01,Sael01-01-LAY01,Layup,1,2025-08-19 03:25:37,Auto,1.0,7.0,False,0,79.0,37.4,22.82396401444645,19.0,12.0,123.0,False,True,False,True,False,False
SL2225TGTG2290266,2001395,22000021,UNIT-01,LINE-02,Sael01-02-LAY01,Layup,1,2025-08-18 10:04:43,Auto,1.0,7.0,False,0,3.0,86.6,61.24667791444323,37.0,114.0,65.0,True,False,False,True,False,False
SL2325TGTG0880096,2000610,22000020,UNIT-01,LINE-03,Sael01-03-IVT01,Flasher Test,1,2025-03-29 13:46:11,OPERATOR,1.0,7.0,False,0,112.0,46.8,47.295289812151935,25.0,20.0,0.0,True,False,False,True,False,False
SL2125TGTG0861088,L1J86,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-28 00:27:04,OPERATOR,1.0,7.0,False,0,55.0,32.2,11.535452025395445,34.0,16.0,82.0,False,True,False,True,False,False
SL2325TGTG0871118,2000603,22000020,UNIT-01,LINE-03,Sael01-03-IVT01,Flasher Test,1,2025-03-29 00:50:36,OPERATOR,1.0,7.0,False,0,29.0,30.7,17.820400125640866,26.0,14.0,0.0,False,True,False,True,False,False
SL2225TGTG0651775,2000523,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,Flasher Test,1,2025-03-07 08:05:14,ADMIN,1.0,7.0,False,1,44.0,38.5,28.375458884952508,18.0,45.0,106.0,True,False,False,True,False,False
SL2125TGTG0851564,L1J85,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-27 05:38:42,OPERATOR,1.0,7.0,False,0,26.0,27.8,13.28156567439796,31.0,52.0,103.0,False,True,False,True,False,False
SL2225TGTG0641611,2000520,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,Flasher Test,1,2025-03-06 03:41:13,ADMIN,1.0,7.0,False,1,47.0,26.6,12.642081414351725,13.0,40.0,100.0,False,True,False,True,False,False
SL2125TGTG0850548,L1J85,22000020,UNIT-01,LINE-01,Sael01-01-IVT01,Flasher Test,1,2025-03-26 18:41:39,OPERATOR,1.0,7.0,False,0,36.0,24.1,7.607743722083767,20.0,33.0,66.0,True,False,False,True,False,False
SL2125TGTG2300680,2001399,22000021,UNIT-01,LINE-01,Sael01-01-LAY01,Layup,1,2025-08-19 02:47:56,Auto,1.0,7.0,False,0,4.0,27.9,20.19048180591439,14.0,15.0,106.0,False,True,False,True,False,False
SL2325TGTG2290753,2001396,22000021,UNIT-01,LINE-03,Sael01-03-LAY01,Layup,1,2025-08-18 20:37:48,Auto,1.0,7.0,False,0,19.0,70.4,53.38164478542123,20.0,85.0,0.0,False,True,False,True,False,False
SL2225TGTG0880710,2000609,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,Flasher Test,1,2025-03-29 22:49:24,OPERATOR,1.0,7.0,False,0,34.0,54.5,53.500259622022234,39.0,16.0,107.0,False,True,False,True,False,False
SL2225TGTG0640940,2000520,22000020,UNIT-01,LINE-02,Sael01-02-IVT01,Flasher Test,1,2025-03-05 22:50:00,ADMIN,1.0,7.0,False,1,57.0,59.2,82.75908812288553,16.0,56.0,109.0,False,True,False,True,False,False
